corrigendum_id	printed_target	target_layer	target_anchors	source_line_ids	source_pages	source_entry_lines	routing_status	canonical_Arabic_change
S01-E011	9	Part I Latin translation/notes	"[""AB01-PDF0098""]"	"[""AB01-PDF0080-body-L014""]"	[80]	"[""9,39, pro <i>supplementaris</i> l. <i>supplementaris alterius</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E012	11	Part I Latin translation/notes	"[""AB01-PDF0100""]"	"[""AB01-PDF0080-body-L015""]"	[80]	"[""11,3 a f., pro <i>complementi</i> l. <i>dupli complementi</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E013	13	Part I Latin translation/notes	"[""AB01-PDF0102""]"	"[""AB01-PDF0080-body-L016"", ""AB01-PDF0080-body-L017"", ""AB01-PDF0080-body-L018"", ""AB01-PDF0080-body-L019"", ""AB01-PDF0080-body-L020"", ""AB01-PDF0080-body-L021"", ""AB01-PDF0080-body-L022"", ""AB01-PDF0080-body-L023"", ""AB01-PDF0080-body-L024"", ""AB01-PDF0080-body-L025""]"	[80]	"[""13, adn. 2: « Ordines » Lunae a <n>Vettio Valente</n> (de quo p. 309, adn. 5) in primo <i>Astro-"", ""logiae</i> libro, cap. <gr>περὶ εὑρέσεως βαθμῶν καὶ ἀνέμων τῆς σελήνης</gr> exhiberi, testis est <n>Cl. Sal-"", ""masius</n>, <i>De annis climactericis et antiqua astrologia diatribe</i>, Lugduni Batavorum"", ""1648, p. 61, qui non satis perspicue dicit: « <gr>Βαθμοὶ</gr> Lunae sunt qui per latitudinem Zo-"", ""« diaci numerantur, dum ea a septentrione ad meridiem meat aut a meridie rursus ad"", ""« septentrionem ascendendo et descendendo, modo ad Austrum, modo ad Aquilonem ».—"", ""Etiam apud <n>Iulianum Laodicensem</n> (<gr>Ἰουλιανὸς Λαοδικεύς</gr>), incertae inter IV et VI"", ""saec. Chr. aetatis, <gr>βαθμοί</gr> Solis, Lunae, quinque planetarum occurrunt; quanam ratione"", ""computati bene non liquet. Vide excerpta in <i>Catal. codd. astrolog. Graecorum</i>, IV (1903),"", ""p. 106–108.""]"	REGISTERED_NOT_APPLIED	none
S01-E014	29	Part I Latin translation/notes	"[""AB01-PDF0118""]"	"[""AB01-PDF0080-body-L026""]"	[80]	"[""29,36, pro <i>terrestrium</i> l. <i>terrestrium</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E015	41	Part I Latin translation/notes	"[""AB01-PDF0130""]"	"[""AB01-PDF0080-body-L027"", ""AB01-PDF0080-body-L028""]"	[80]	"[""41, adn. 2: Idem Albatenii error apud nonnullos etiam aetatis nostrae scriptores, e quibus"", ""R. <n>Wolf</n>. <i>Handbuch der Astronomie</i>, t. I, p. 443, § 202,e.""]"	REGISTERED_NOT_APPLIED	none
S01-E016	54	Part I Latin translation/notes	"[""AB01-PDF0143""]"	"[""AB01-PDF0080-body-L029""]"	[80]	"[""54,26, pro <i>utemus</i> l. <i>utemur</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E017	54	Part I Latin translation/notes	"[""AB01-PDF0143""]"	"[""AB01-PDF0080-body-L030""]"	[80]	"[""54,28, pro <i>quantitas</i> l. <i>argumentum</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E018	54	Part I Latin translation/notes	"[""AB01-PDF0143""]"	"[""AB01-PDF0080-body-L031""]"	[80]	"[""54, adn. 10, pro <i>quantitate</i> l. <i>argumento</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E019	68	Part I Latin translation/notes	"[""AB01-PDF0157""]"	"[""AB01-PDF0080-body-L032""]"	[80]	"[""68,23, pro <i>qu</i> l. <i>qui</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E020	71	Part I Latin translation/notes	"[""AB01-PDF0160""]"	"[""AB01-PDF0080-body-L033""]"	[80]	"[""71,4–5, emendetur iuxta quae dixi p. 322, adn. 2.""]"	REGISTERED_NOT_APPLIED	none
S01-E021	75	Part I Latin translation/notes	"[""AB01-PDF0164""]"	"[""AB01-PDF0080-body-L034""]"	[80]	"[""75, de voce <i>ǵawzahar</i> in titulo cap. XXXVII, fortasse interpolata, vide p. XLIII praefationis.""]"	REGISTERED_NOT_APPLIED	none
S01-E022	80	Part I Latin translation/notes	"[""AB01-PDF0169""]"	"[""AB01-PDF0080-body-L035""]"	[80]	"[""80,38, pro <i>octavam</i> l. <i>decimam octavam</i>, ut Plato habet; cfr. p. 257–58, et XXXVIII, adn. 3.""]"	REGISTERED_NOT_APPLIED	none
S01-E023	80	Part I Latin translation/notes	"[""AB01-PDF0169""]"	"[""AB01-PDF0080-body-L036""]"	[80]	"[""80, adn. 4, pro <i>sequenttnus</i> l. <i>sequentibus</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E024	85	Part I Latin translation/notes	"[""AB01-PDF0174""]"	"[""AB01-PDF0080-body-L037""]"	[80]	"[""85,23–24, verba <i>in semidiametrum multiplica, et productum</i> delenda sunt; cfr. p. 265.""]"	REGISTERED_NOT_APPLIED	none
S01-E025	96	Part I Latin translation/notes	"[""AB01-PDF0185""]"	"[""AB01-PDF0080-body-L038""]"	[80]	"[""96,6, pro <i>horae</i>, quod cod. et Pl. habent, videtur <i>gradus</i> legendum; cfr. p. 275, adn. 1.""]"	REGISTERED_NOT_APPLIED	none
S01-E026	107	Part I Latin translation/notes	"[""AB01-PDF0196""]"	"[""AB01-PDF0080-body-L039""]"	[80]	"[""107,10, pro <i>consuemus</i> l. <i>consuescimus</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E027	114	Part I Latin translation/notes	"[""AB01-PDF0203""]"	"[""AB01-PDF0080-body-L040""]"	[80]	"[""114,11, in minutis apogei Martis pro <i>18′</i> l. <i>58′</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E028	114	Part I Latin translation/notes	"[""AB01-PDF0203""]"	"[""AB01-PDF0080-body-L041""]"	[80]	"[""114, adn. 1: Transpositio nonnisi in editionibus Platonis; cfr. praefationem p. LV.""]"	REGISTERED_NOT_APPLIED	none
S01-E029	124	Part I Latin translation/notes	"[""AB01-PDF0213""]"	"[""AB01-PDF0081-body-L001""]"	[81]	"[""124,2, pro <i>referta</i> l. <i>relata</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E030	129	Part I Latin translation/notes	"[""AB01-PDF0218""]"	"[""AB01-PDF0081-body-L002""]"	[81]	"[""129, marg., numerus paginae textus, male impressus, est <i>194</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E031	132	Part I Latin translation/notes	"[""AB01-PDF0221""]"	"[""AB01-PDF0081-body-L003""]"	[81]	"[""132,6, pro <i>interiectos</i> l. <i>interiectis</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E032	133	Part I Latin translation/notes	"[""AB01-PDF0222""]"	"[""AB01-PDF0081-body-L004""]"	[81]	"[""133,29, pro <i>cognoscuntur. Idest</i> l. <i>cognoscuntur; idest.</i>""]"	REGISTERED_NOT_APPLIED	none
S01-E033	133	Part I Latin translation/notes	"[""AB01-PDF0222""]"	"[""AB01-PDF0081-body-L005""]"	[81]	"[""133,31, pro <i>deprehende; si</i> l. <i>deprehendes. — Si.</i>""]"	REGISTERED_NOT_APPLIED	none
S01-E034	134	Part I Latin translation/notes	"[""AB01-PDF0223""]"	"[""AB01-PDF0081-body-L006"", ""AB01-PDF0081-body-L007""]"	[81]	"[""134,18, post <i>consistit</i> haec inserantur: [<i>distantiam multiplica in tempora horaria gradus"", ""sequentis</i>]. Cfr. p. 316, adn. 3.""]"	REGISTERED_NOT_APPLIED	none
S01-E035	134	Part I Latin translation/notes	"[""AB01-PDF0223""]"	"[""AB01-PDF0081-body-L008""]"	[81]	"[""134,ult.: Verba <i>hoc modo hilegia</i> etc., fortasse spuria; cfr. praefationem p. XLIII.""]"	REGISTERED_NOT_APPLIED	none
S01-E036	138–139	Part I Latin translation/notes	"[""AB01-PDF0227"", ""AB01-PDF0228""]"	"[""AB01-PDF0081-body-L009""]"	[81]	"[""138–139, adn. 5: Additamenta quorumdam codicum Platonis legantur in praefatione p. LII–LV.""]"	REGISTERED_NOT_APPLIED	none
S01-E037	139	Part I Latin translation/notes	"[""AB01-PDF0228""]"	"[""AB01-PDF0081-body-L010""]"	[81]	"[""139,10, emendandum sicut p. 321 docui.""]"	REGISTERED_NOT_APPLIED	none
S01-E038	148	Part I Latin translation/notes	"[""AB01-PDF0237""]"	"[""AB01-PDF0081-body-L011""]"	[81]	"[""148,1, addatur in margine <i>p. 223</i> textus Arabici.""]"	REGISTERED_NOT_APPLIED	none
S01-E039	149	Part I Latin translation/notes	"[""AB01-PDF0238""]"	"[""AB01-PDF0081-body-L012""]"	[81]	"[""149,21 et 26–27, emendandae sicut p. 326 exposui.""]"	REGISTERED_NOT_APPLIED	none
S01-E040	158	Part I Latin translation/notes	"[""AB01-PDF0247""]"	"[""AB01-PDF0081-body-L013""]"	[81]	"[""158,6 a f. (notis non supputatis) pro <i>quos</i> l. <i>quoque</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E041	158	Part I Latin translation/notes	"[""AB01-PDF0247""]"	"[""AB01-PDF0081-body-L014""]"	[81]	"[""158,5 a f. (notis non supputatis) pro <i>tempore</i> l. <i>partem</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E042	162–163	Part I Latin translation/notes	"[""AB01-PDF0251"", ""AB01-PDF0252""]"	"[""AB01-PDF0081-body-L015"", ""AB01-PDF0081-body-L016"", ""AB01-PDF0081-body-L017"", ""AB01-PDF0081-body-L018"", ""AB01-PDF0081-body-L019"", ""AB01-PDF0081-body-L020"", ""AB01-PDF0081-body-L021"", ""AB01-PDF0081-body-L022"", ""AB01-PDF0081-body-L023"", ""AB01-PDF0081-body-L024"", ""AB01-PDF0081-body-L025"", ""AB01-PDF0081-body-L026"", ""AB01-PDF0081-body-L027"", ""AB01-PDF0081-body-L028"", ""AB01-PDF0081-body-L029"", ""AB01-PDF0081-body-L030"", ""AB01-PDF0081-body-L031""]"	[81]	"[""162–163: Mirae Theonis definitiones sunt etiam in inedita <n>Vettii Valentis</n> <i>Astrologia</i>,"", ""lib. II, cap. de ventis stellarum (<gr>περὶ ἀνέμων τῶν ἀστέρων</gr>). Nam, <n>Salmasio</n> (<i>de annis"", ""climactericis</i> p. 421–22) teste, Valens, cum ceteris astrologis ponens Solem in 19° Arietis"", ""exaltari (<gr>ὑψοῦσθαι</gr>), indeque tetragonum considerans cuius vertices 19° Arietis, 19° Cancri,"", ""19° Librae, 19° Capricorni, dicit a 19° Arietis ad totidem Cancri Solem <gr>καταβαίνειν τὸν"", ""βοῤῥᾶν</gr>, a 19° Cancri ad similem gradum Librae <gr>καταβαίνειν τὸν νότον</gr>, a 19° Librae ad 19°"", ""Capricorni <gr>ἀναβαίνειν τὸν νότον</gr>, a 19° Capricorni ad totidem Arietis <gr>βοῤῥᾶν ἀναβαίνειν</gr>. Et"", ""similia de reliquis planetis. Lunam diversam ita considerat lib. I, cap. <gr>περὶ εὑρέσεως βαθμῶν καὶ ἀνέ-"", ""μων τῆς σελήνης</gr> (teste <n>Salmasio</n> p. 422) a Leone ad Libram <gr>καταβαίνειν τὰ βόρεια</gr>, a"", ""Scorpio ad Cancrum <gr>καταβαίνειν τὰ νότια</gr>, ab Aquario ad Arietem <gr>ἀναβαίνειν τὰ νότια</gr>, a"", ""Tauro ad Cancrum <gr>ἀναβαίνειν τὰ βόρεια</gr>; quae propterea Valentem dixisse arbitror, quod"", ""Luna, iuxta astrologos, in 3° Tauri exaltatur; tetragoni vertices sunt igitur Taurus, Leo,"", ""Scorpius, Aquarius. — Cum usu Albateniano consentit <n>Iulianus Laodicensis</n>, loco"", ""antea (p. LXXI) memorato affirmans Solem, Venerem, Mercurium in 214°8′50″, 231°28′,"", ""224°32′ longitudinis exstantes « in austrum descendere » (<gr>κατέρχεται νότον</gr>), Lunam et Sa-"", ""turnum, in 48°10′ et 24°28′, « in boream ascendere » (<gr>ἀνέρχεται βοῤῥᾶν</gr>). Librarii corrupte-"", ""lam inesse puto in Iove (154°12′) et Marte (137°35′), qui quoque dicuntur <gr>ἀνέρχεται βοῤῥᾶν</gr>.""]"	REGISTERED_NOT_APPLIED	none
S01-E043	163–164	Part I Latin translation/notes	"[""AB01-PDF0252"", ""AB01-PDF0253""]"	"[""AB01-PDF0081-body-L032"", ""AB01-PDF0081-body-L033"", ""AB01-PDF0081-body-L034"", ""AB01-PDF0081-body-L035"", ""AB01-PDF0081-body-L036"", ""AB01-PDF0081-body-L037"", ""AB01-PDF0081-body-L038"", ""AB01-PDF0081-body-L039"", ""AB01-PDF0081-body-L040"", ""AB01-PDF0081-body-L041"", ""AB01-PDF0081-body-L042"", ""AB01-PDF0081-body-L043"", ""AB01-PDF0081-body-L044"", ""AB01-PDF0081-body-L045"", ""AB01-PDF0081-body-L046""]"	[81]	"[""163–164, adn. <i>b</i>: Item <n>al-Khāzinī</n> f. 151,r.–v., et <n>Kūshiyār ibn Labbān</n> (loco quem"", ""p. 325 memoravi) tabulam ascensionum rectarum ab initio Capricorni supputatarum prae-"", ""bent. Unum problematum libri <i>de sphaea</i>, cuius auctor <n>az-Zarqālī</n>, est: longitudinem"", ""stellae cognoscere ex ascensione recta ab initio Capricorni supputata (i. e. ex gradu cum"", ""quo stella culminat) et declinatione; quae male vertit <n>Steinschneider</n>, <i>Études sur"", ""Zarkali</i>, Bullett. di bibliografia, t. XVIII, 1885–86, p. 345 (= p. 57 libri seorsum editi)."", ""Ab initio Capricorni tabulas ascensionum rectarum pro singulis zodiaci minutis supputavit"", ""quoque <n>Abū Bakr ibn al-Musharraf</n>, IX heg. saeculo (XV Chr.) ut videtur (<i>Ca-"", ""tal. Bibliothecae Kahirensis</i>, t. V, p. 238, mīqāt nr. 209). Et ab eodem Capricorni puncto"", ""ascensiones 112 stellarum fixarum, pro anno 1650 Chr. circiter, numeravit <n>Muḥammad"", ""al-Akhṣāṣī</n> Aegyptius in libello <i>al-durrah al-muḍī’ah fī ’l-a‘māl ash-shamsiyyah</i>,"", ""cuius duo exemplaria etiam in <i>Catal. Kahirensi</i> V, 245, mīqāt nr. 60 et 81; vide tabulas"", ""editas ab <n>Edw. Knobel</n>, <i>On a catalogue of stars in the Calendarium of Mohammad"", ""Al Achsasi Al Mouakket</i>, in Monthly Notices of the R. Astronomical Society, vol. LV,"", ""Nr. 8, 1895, p. 429.""]"	REGISTERED_NOT_APPLIED	none
S01-E044	169	Part I Latin translation/notes	"[""AB01-PDF0258""]"	"[""AB01-PDF0082-body-L001""]"	[82]	"[""169,3 a f. (adnotationibus non supputatis), pro <i>extensione</i> l. <i>extensionis</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E045	171	Part I Latin translation/notes	"[""AB01-PDF0260""]"	"[""AB01-PDF0082-body-L002"", ""AB01-PDF0082-body-L003""]"	[82]	"[""171, adn. 3: Vide praeterea J. <n>Canal</n>, <i>Tiaret, monographie ancienne et moderne</i> (Bulletin"", ""trimestral de géographie et d’archéologie d’Oran, t. XX, 1900, p. 1–44).""]"	REGISTERED_NOT_APPLIED	none
S01-E046	175	Part I Latin translation/notes	"[""AB01-PDF0264""]"	"[""AB01-PDF0082-body-L004""]"	[82]	"[""175,13, numeri <i>10</i> et <i>9</i> inter se permutentur.""]"	REGISTERED_NOT_APPLIED	none
S01-E047	175	Part I Latin translation/notes	"[""AB01-PDF0264""]"	"[""AB01-PDF0082-body-L005""]"	[82]	"[""175, adn. 9, pro <glyph>AB01-PDF0082-G01</glyph> l. <glyph>AB01-PDF0082-G02</glyph>.""]"	REGISTERED_NOT_APPLIED	none
S01-E048	181	Part I Latin translation/notes	"[""AB01-PDF0270""]"	"[""AB01-PDF0082-body-L006"", ""AB01-PDF0082-body-L007"", ""AB01-PDF0082-body-L008""]"	[82]	"[""181,1–4: Theorema proportionalitatis sinuum angulorum ad latera opposita in triangulo recti-"", ""lineo, tanquam res omnibus nota iam ab <n>al-Bīrūnī</n>, <i>Chron.</i> p. 184 text., 166 vers.,"", ""commemoratur.""]"	REGISTERED_NOT_APPLIED	none
S01-E049	191	Part I Latin translation/notes	"[""AB01-PDF0280""]"	"[""AB01-PDF0082-body-L009""]"	[82]	"[""191,16, pro <i>ortographicam</i> l. <i>orthographicam</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E050	194	Part I Latin translation/notes	"[""AB01-PDF0283""]"	"[""AB01-PDF0082-body-L010""]"	[82]	"[""194,26, lineola excidit in fractione <m>\\frac{\\cos L}{\\cos\\delta}</m>.""]"	REGISTERED_NOT_APPLIED	none
S01-E051	194	Part I Latin translation/notes	"[""AB01-PDF0283""]"	"[""AB01-PDF0082-body-L011""]"	[82]	"[""194, in paenultima formula pro « <m>\\sin\\omega</m> » l. « <m>\\sin\\varepsilon</m> ».""]"	REGISTERED_NOT_APPLIED	none
S01-E052	198	Part I Latin translation/notes	"[""AB01-PDF0287""]"	"[""AB01-PDF0082-body-L012"", ""AB01-PDF0082-body-L013"", ""AB01-PDF0082-body-L014"", ""AB01-PDF0082-body-L015"", ""AB01-PDF0082-body-L016"", ""AB01-PDF0082-body-L017"", ""AB01-PDF0082-body-L018"", ""AB01-PDF0082-body-L019"", ""AB01-PDF0082-body-L020"", ""AB01-PDF0082-body-L021"", ""AB01-PDF0082-body-L022"", ""AB01-PDF0082-body-L023"", ""AB01-PDF0082-body-L024"", ""AB01-PDF0082-body-L025"", ""AB01-PDF0082-body-L026"", ""AB01-PDF0082-body-L027"", ""AB01-PDF0082-body-L028"", ""AB01-PDF0082-body-L029"", ""AB01-PDF0082-body-L030""]"	[82]	"[""198,16–22 et adn. 1: Epistula illa non est Regiomontani ad Blanchinum, ut Delambre affirmat,"", ""sed <n>Blanchini</n> ad Regiomontanum; nunc melius edita a <n>M. Curtze</n>, <i>Urkunden zur"", ""Geschichte der Mathematik im Mittelalter und der Renaissance</i>, Leipzig 1902, t. I,"", ""p. 240–41: « Vidi, per aliquos auctores doctrinam dari ad inveniendum declinationem"", ""« stellarum habentium latitudinem, quorum doctrina est, accipere latitudinem stelle atque"", ""« declinationem gradus ecliptice, in quo videtur stella esse, et si ambo sunt in eadem"", ""« parte, septentrionali scilicet aut meridionali, ipsas copulare, si vero una fuerit meridio-"", ""« nalis, altera vero septentrionalis, demere minorem a maiori, et quod post copulationem"", ""« aut subtractionem perveniat, elongationem stelle ab equinoctiali nominant, cuius dicunt"", ""« accipiendum esse sinum. Nam prima fronte doctrina ipsa videtur falsa, quare arcus lati-"", ""« tudinis et arcus declinationis quilibet procedit a suo polo, et sunt duo diversi arcus se"", ""« secantes supra centrum stelle, nec ex ipsis solam sinus [sic] aut cordam accipi potest."", ""« Dicunt etiam, dictum sinum multiplicari debere per sinum aut cordam residui maxime"", ""« declinationis, et productum dividere per sinum residui sciti complementi declinationis"", ""« ecliptice, et hoc modo dicunt, declinationem veram stelle cum sua latitudine invenire."", ""« Certe nescio hanc demonstrationem lineare, nec invenio <n>Albategni</n> ipsam demonstrasse,"", ""« sed narrando regulam ipsam ultro concludit. Miror etiam de <n>Ioanne Anglicano</n> (1)"", ""« peritissimo et docto, qui in suo commento supra tabulas Toletanas per <n>Arzachelem</n>"", ""« constructas hoc affirmat absque demonstratione ».""]"	REGISTERED_NOT_APPLIED	none
