corrigendum_id	printed_target	target_layer	target_anchors	source_line_ids	source_pages	source_entry_lines	routing_status	canonical_Arabic_change
S01-E001	VIII	Part I Nallino apparatus	"[""AB01-PDF0017""]"	"[""AB01-PDF0079-body-L002"", ""AB01-PDF0079-body-L003"", ""AB01-PDF0079-body-L004"", ""AB01-PDF0079-body-L005"", ""AB01-PDF0079-body-L006"", ""AB01-PDF0079-body-L007"", ""AB01-PDF0079-body-L008"", ""AB01-PDF0079-body-L009"", ""AB01-PDF0079-body-L010"", ""AB01-PDF0079-body-L011"", ""AB01-PDF0079-body-L012"", ""AB01-PDF0079-body-L013"", ""AB01-PDF0079-body-L014"", ""AB01-PDF0079-body-L015"", ""AB01-PDF0079-body-L016"", ""AB01-PDF0079-body-L017"", ""AB01-PDF0079-body-L018""]"	[79]	"[""Pag. VIII: Dimidia fere pars praefationis iam impressa erat, cum prodiit <n>Ibn al-Qifṭī’s</n> <i>Ta’-"", ""rīḫ al-ḥukamā’ herausgegeben von J. Lippert</i>, Leipzig 1903; dolendum est quod saepe"", ""editor varias lectiones et additamenta codicum indicare negligat. In Albatenii vita, p. 280–"", ""–281, post verba « [cognomine] al-Battānī notus » haec adduntur, procul dubio in per-"", ""paucis codicibus exstantia (cfr. <n>Chwolsohn</n>, I, 611, adn. 1): « et in libro iudicis Ṣā‘id"", ""« al-Andalusī est <i>Abū Ǵa‘far</i> Muḥammad <i>ibn Sinān ibn Ǵābir</i> al-Ḥarrānī, [cognomine]"", ""« al-Battānī notus ». Post illa « eorum motibus investigandis adaequaverit » editio Lippert"", ""praebet etiam: « Studium praeterea in iudiciis astrorum collocaverat, quod eum impulit"", ""« ad [libros] de hac re conscribendos; ex eius scriptis de [iudiciis] illis est liber ad ex-"", ""« plicandam Tetrabiblum Ptolemaei ». Editio Lippert demum lectionem libri <i>al-Fihrist</i>"", ""sequitur quam p. VIII, adn. 8 memoravi."", ""Nomen Abū Ǵa‘far pro Abū ‘Abd Allāh etiam in vita Abū Ma‘shar (<n>Ibn al-Qifṭī</n>"", ""ed. Lippert p. 153) occurrit, probabiliter ex eiusdem Ṣā‘id al-Andalusī (de quo p. IX, adn. 4,"", ""dixi) auctoritate. Ut videtur, false; nam Abū ‘Abd Allāh non solum reliqui biographi, sed"", ""etiam <n>al-Mas‘ūdī</n>, <i>Prairies</i>, IX, 49, et <n>Ibn Yūnus</n>, introd. (apud <n>Caussin</n>, p. 72),"", ""confirmant. Perperam etiam nomina Sinān et Ǵābir apud Ṣā‘id esse transposita, latissime"", ""e concorde tot Arabicorum scriptorum traditione apparet.""]"	REGISTERED_NOT_APPLIED	none
S01-E002	VIII	Part I Nallino apparatus	"[""AB01-PDF0017""]"	"[""AB01-PDF0079-body-L019"", ""AB01-PDF0079-body-L020""]"	[79]	"[""VIII, adn. 7: In edit. Lippert p. 155–56. Dicitur Ibn al-Muktafī mortuus esse die Martis 4 ṣa-"", ""far 377; sed 4 ṣafar illius anni fuit die Dominica 5 Iunii 987 Chr., iuxta civilem usum.""]"	REGISTERED_NOT_APPLIED	none
S01-E003	XV	Part I Nallino apparatus	"[""AB01-PDF0024""]"	"[""AB01-PDF0079-body-L021""]"	[79]	"[""XV, adn. 3: in nonnullis exemplaribus <i>Subbī</i> et <ar>الصَّباء</ar> pro <i>Ṣubbī</i> et <ar>الصُّبَّاء</ar> impressum est.""]"	REGISTERED_NOT_APPLIED	none
S01-E004	XXIV–XXV	Part I Nallino apparatus	"[""AB01-PDF0033"", ""AB01-PDF0034""]"	"[""AB01-PDF0079-body-L022"", ""AB01-PDF0079-body-L023""]"	[79]	"[""XXIV–XXV: Non solum al-Battānī, sed etiam al-Bīrūnī in magno suo <i>Canone</i> Almagestum in"", ""compendium redegisse affirmat <n>Ibn al-Qifṭī</n> l. c. (ed. Lippert, p. 97).""]"	REGISTERED_NOT_APPLIED	none
S01-E005	XXVI	Part I Nallino apparatus	"[""AB01-PDF0035""]"	"[""AB01-PDF0079-body-L024""]"	[79]	"[""XXVI, l. 5: edit. Lippert, p. 242.""]"	REGISTERED_NOT_APPLIED	none
S01-E006	XXXIII	Part I Nallino apparatus	"[""AB01-PDF0042""]"	"[""AB01-PDF0079-body-L025""]"	[79]	"[""XXXIII, adn. 1: edit. Lippert, p. 326.""]"	REGISTERED_NOT_APPLIED	none
S01-E007	3	Part I Latin translation/notes	"[""AB01-PDF0092""]"	"[""AB01-PDF0079-body-L026""]"	[79]	"[""Pag. 3, lin. 14, pro <i>longiquitate</i> l. <i>longinquitate</i>.""]"	REGISTERED_NOT_APPLIED	none
S01-E008	6	Part I Latin translation/notes	"[""AB01-PDF0095""]"	"[""AB01-PDF0079-body-L027"", ""AB01-PDF0079-body-L028""]"	[79]	"[""6,11, pro <i>his causis antiqui diviserunt: quia.....</i> l. <i>antiqui diviserunt, pluribus impellentes"", ""causis: quia scilicet.....</i>""]"	REGISTERED_NOT_APPLIED	none
S01-E009	6	Part I Latin translation/notes	"[""AB01-PDF0095""]"	"[""AB01-PDF0079-body-L029"", ""AB01-PDF0079-body-L030"", ""AB01-PDF0079-body-L031"", ""AB01-PDF0079-body-L032"", ""AB01-PDF0079-body-L033"", ""AB01-PDF0079-body-L034"", ""AB01-PDF0079-body-L035"", ""AB01-PDF0079-body-L036"", ""AB01-PDF0079-body-L037"", ""AB01-PDF0079-body-L038"", ""AB01-PDF0080-body-L001"", ""AB01-PDF0080-body-L002"", ""AB01-PDF0080-body-L003"", ""AB01-PDF0080-body-L004"", ""AB01-PDF0080-body-L005"", ""AB01-PDF0080-body-L006"", ""AB01-PDF0080-body-L007"", ""AB01-PDF0080-body-L008"", ""AB01-PDF0080-body-L009"", ""AB01-PDF0080-body-L010"", ""AB01-PDF0080-body-L011"", ""AB01-PDF0080-body-L012""]"	[79, 80]	"[""6,32–36, ita ad verbum reddendum: <i>Significatio multiplicationis est quod sibi ipsi adiicias"", ""alterum numerorum iuxta quantitatem unitatum alterius; intelligo multiplicationem"", ""unitatum in unitates. Multiplicatio fractionum in unitates est quod sibi ipsi adiicias"", ""fractiones iuxta quantitatem unitatum, vel quod dividas unitates iuxta quantitatem"", ""fractionum ex uno. Multiplicatio fractionum in fractiones est quod dividas alteram"", ""fractionum, quamcumque volueris, iuxta quantitatem alterius fractionis ex uno.</i>"", ""Quod <i>sibi ipsi adiicere</i> verti, Arabice est <i>ḍā‘afa</i>, tum <i>duplicare</i> significans, tum"", ""quantitatem datam <i>pluries sumere</i> ut eius multiplum proveniat; cfr. lexicographorum"", ""Arabicorum definitiones apud <n>Lane</n>, <i>Arabic–english Lexicon</i>, s. v. Plato recte: <i>coacer-"", ""vatio et aggregatio</i>. Sed alii Latini interpretes aevi medii semper <i>duplicare</i> vertunt; ita"", ""<n>Algoritmi</n> [i. e. al-Khuwārizmī] <i>de numero Indorum</i>: « necesse est omni numero"", ""« qui multiplicatur in aliquo quolibet numero, ut <i>duplicetur</i> unus ex eis secundum uni-"", ""« tates alterius » (<i>Trattati d’aritmetica pubblicati da B. Boncompagni</i>, Roma 1857,"", ""p. 10). Similiter ex voce Arabica male versa factum est ut mathematici <n>Iudaei</n> XII sae-"", ""culi, sicut Abrāhām bar Ḥiyyā’ et Abrāhām Ibn ‘Ezrā, Hebraice « multiplicare » dicerent"", ""<i>kāphal</i> (i. e. duplicare), et « multiplicationem » <i>kephel</i> (i. e. duplicatio); exempla apud"", ""<n>Steinschneider</n>, <i>Abraham ibn Esra</i>, in periodico Abhandlungen zur Geschichte der"", ""Mathematik, t. III, 1880, p. 106 (adn. 179) et 113. Item usus vocis <i>kephel</i> ad adverbia mul-"", ""tiplicantia exprimenda (ut <i>volta</i> apud Italos, <i>mal</i> apud Germanos) non a verbo ipso <i>kāphal</i>"", ""ducendus, ut Steinschneider (1) putat, sed ab Arabico <i>ḍi‘f</i> « duplum rei, aut quantitas alteri"", ""datae aequalis », quod eodem sensu usurpatur; cfr. apud <n>al-Battānī</n> ipsum t. III, p. 88:"", ""<ar>وتَضَاعَفَ البُعْدُ اضْعَافًا كثيرة</ar> et <ar>اعظم منه بأضعاف مُضْعَفَة</ar> (2).""]"	REGISTERED_NOT_APPLIED	none
S01-E010	6	Part I Latin translation/notes	"[""AB01-PDF0095""]"	"[""AB01-PDF0080-body-L013""]"	[80]	"[""6,ult., pro <i>1165</i> l. <i>1135</i>.""]"	REGISTERED_NOT_APPLIED	none
