table_id	cell_id	row	column	source_pdf_rect	literal	status	glyph_id
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C01	1	1	[144.9, 456.2, 172.63636363636365, 483.9090909090909]	grad.	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C02	1	2	[172.63636363636365, 456.2, 200.37272727272727, 483.9090909090909]	min.	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C03	1	3	[200.37272727272727, 456.2, 228.10909090909092, 483.9090909090909]	2	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C04	1	4	[228.10909090909092, 456.2, 255.84545454545457, 483.9090909090909]	3	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C05	1	5	[255.84545454545457, 456.2, 283.5818181818182, 483.9090909090909]	4	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C06	1	6	[283.5818181818182, 456.2, 311.31818181818187, 483.9090909090909]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C07	1	7	[311.31818181818187, 456.2, 339.0545454545455, 483.9090909090909]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C08	1	8	[339.0545454545455, 456.2, 366.7909090909091, 483.9090909090909]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C09	1	9	[366.7909090909091, 456.2, 394.5272727272727, 483.9090909090909]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C10	1	10	[394.5272727272727, 456.2, 422.26363636363635, 483.9090909090909]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R01-C11	1	11	[422.26363636363635, 456.2, 450.0, 483.9090909090909]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C01	2	1	[144.9, 483.9090909090909, 172.63636363636365, 511.6181818181818]	min.	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C02	2	2	[172.63636363636365, 483.9090909090909, 200.37272727272727, 511.6181818181818]	2	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C03	2	3	[200.37272727272727, 483.9090909090909, 228.10909090909092, 511.6181818181818]	3	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C04	2	4	[228.10909090909092, 483.9090909090909, 255.84545454545457, 511.6181818181818]	4	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C05	2	5	[255.84545454545457, 483.9090909090909, 283.5818181818182, 511.6181818181818]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C06	2	6	[283.5818181818182, 483.9090909090909, 311.31818181818187, 511.6181818181818]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C07	2	7	[311.31818181818187, 483.9090909090909, 339.0545454545455, 511.6181818181818]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C08	2	8	[339.0545454545455, 483.9090909090909, 366.7909090909091, 511.6181818181818]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C09	2	9	[366.7909090909091, 483.9090909090909, 394.5272727272727, 511.6181818181818]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C10	2	10	[394.5272727272727, 483.9090909090909, 422.26363636363635, 511.6181818181818]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R02-C11	2	11	[422.26363636363635, 483.9090909090909, 450.0, 511.6181818181818]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C01	3	1	[144.9, 511.6181818181818, 172.63636363636365, 539.3272727272728]	2	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C02	3	2	[172.63636363636365, 511.6181818181818, 200.37272727272727, 539.3272727272728]	3	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C03	3	3	[200.37272727272727, 511.6181818181818, 228.10909090909092, 539.3272727272728]	4	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C04	3	4	[228.10909090909092, 511.6181818181818, 255.84545454545457, 539.3272727272728]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C05	3	5	[255.84545454545457, 511.6181818181818, 283.5818181818182, 539.3272727272728]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C06	3	6	[283.5818181818182, 511.6181818181818, 311.31818181818187, 539.3272727272728]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C07	3	7	[311.31818181818187, 511.6181818181818, 339.0545454545455, 539.3272727272728]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C08	3	8	[339.0545454545455, 511.6181818181818, 366.7909090909091, 539.3272727272728]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C09	3	9	[366.7909090909091, 511.6181818181818, 394.5272727272727, 539.3272727272728]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C10	3	10	[394.5272727272727, 511.6181818181818, 422.26363636363635, 539.3272727272728]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R03-C11	3	11	[422.26363636363635, 511.6181818181818, 450.0, 539.3272727272728]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C01	4	1	[144.9, 539.3272727272728, 172.63636363636365, 567.0363636363636]	3	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C02	4	2	[172.63636363636365, 539.3272727272728, 200.37272727272727, 567.0363636363636]	4	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C03	4	3	[200.37272727272727, 539.3272727272728, 228.10909090909092, 567.0363636363636]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C04	4	4	[228.10909090909092, 539.3272727272728, 255.84545454545457, 567.0363636363636]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C05	4	5	[255.84545454545457, 539.3272727272728, 283.5818181818182, 567.0363636363636]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C06	4	6	[283.5818181818182, 539.3272727272728, 311.31818181818187, 567.0363636363636]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C07	4	7	[311.31818181818187, 539.3272727272728, 339.0545454545455, 567.0363636363636]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C08	4	8	[339.0545454545455, 539.3272727272728, 366.7909090909091, 567.0363636363636]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C09	4	9	[366.7909090909091, 539.3272727272728, 394.5272727272727, 567.0363636363636]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C10	4	10	[394.5272727272727, 539.3272727272728, 422.26363636363635, 567.0363636363636]		IMAGE_PRESERVED_UNRESOLVED_DIGIT	AB01-PDF0096-T01-R04-C10
AB01-PDF0096-T01	AB01-PDF0096-T01-R04-C11	4	11	[422.26363636363635, 539.3272727272728, 450.0, 567.0363636363636]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C01	5	1	[144.9, 567.0363636363636, 172.63636363636365, 594.7454545454545]	4	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C02	5	2	[172.63636363636365, 567.0363636363636, 200.37272727272727, 594.7454545454545]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C03	5	3	[200.37272727272727, 567.0363636363636, 228.10909090909092, 594.7454545454545]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C04	5	4	[228.10909090909092, 567.0363636363636, 255.84545454545457, 594.7454545454545]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C05	5	5	[255.84545454545457, 567.0363636363636, 283.5818181818182, 594.7454545454545]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C06	5	6	[283.5818181818182, 567.0363636363636, 311.31818181818187, 594.7454545454545]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C07	5	7	[311.31818181818187, 567.0363636363636, 339.0545454545455, 594.7454545454545]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C08	5	8	[339.0545454545455, 567.0363636363636, 366.7909090909091, 594.7454545454545]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C09	5	9	[366.7909090909091, 567.0363636363636, 394.5272727272727, 594.7454545454545]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C10	5	10	[394.5272727272727, 567.0363636363636, 422.26363636363635, 594.7454545454545]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R05-C11	5	11	[422.26363636363635, 567.0363636363636, 450.0, 594.7454545454545]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C01	6	1	[144.9, 594.7454545454545, 172.63636363636365, 622.4545454545455]	5	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C02	6	2	[172.63636363636365, 594.7454545454545, 200.37272727272727, 622.4545454545455]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C03	6	3	[200.37272727272727, 594.7454545454545, 228.10909090909092, 622.4545454545455]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C04	6	4	[228.10909090909092, 594.7454545454545, 255.84545454545457, 622.4545454545455]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C05	6	5	[255.84545454545457, 594.7454545454545, 283.5818181818182, 622.4545454545455]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C06	6	6	[283.5818181818182, 594.7454545454545, 311.31818181818187, 622.4545454545455]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C07	6	7	[311.31818181818187, 594.7454545454545, 339.0545454545455, 622.4545454545455]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C08	6	8	[339.0545454545455, 594.7454545454545, 366.7909090909091, 622.4545454545455]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C09	6	9	[366.7909090909091, 594.7454545454545, 394.5272727272727, 622.4545454545455]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C10	6	10	[394.5272727272727, 594.7454545454545, 422.26363636363635, 622.4545454545455]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R06-C11	6	11	[422.26363636363635, 594.7454545454545, 450.0, 622.4545454545455]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C01	7	1	[144.9, 622.4545454545455, 172.63636363636365, 650.1636363636363]	6	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C02	7	2	[172.63636363636365, 622.4545454545455, 200.37272727272727, 650.1636363636363]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C03	7	3	[200.37272727272727, 622.4545454545455, 228.10909090909092, 650.1636363636363]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C04	7	4	[228.10909090909092, 622.4545454545455, 255.84545454545457, 650.1636363636363]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C05	7	5	[255.84545454545457, 622.4545454545455, 283.5818181818182, 650.1636363636363]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C06	7	6	[283.5818181818182, 622.4545454545455, 311.31818181818187, 650.1636363636363]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C07	7	7	[311.31818181818187, 622.4545454545455, 339.0545454545455, 650.1636363636363]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C08	7	8	[339.0545454545455, 622.4545454545455, 366.7909090909091, 650.1636363636363]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C09	7	9	[366.7909090909091, 622.4545454545455, 394.5272727272727, 650.1636363636363]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C10	7	10	[394.5272727272727, 622.4545454545455, 422.26363636363635, 650.1636363636363]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R07-C11	7	11	[422.26363636363635, 622.4545454545455, 450.0, 650.1636363636363]	16	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C01	8	1	[144.9, 650.1636363636363, 172.63636363636365, 677.8727272727273]	7	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C02	8	2	[172.63636363636365, 650.1636363636363, 200.37272727272727, 677.8727272727273]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C03	8	3	[200.37272727272727, 650.1636363636363, 228.10909090909092, 677.8727272727273]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C04	8	4	[228.10909090909092, 650.1636363636363, 255.84545454545457, 677.8727272727273]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C05	8	5	[255.84545454545457, 650.1636363636363, 283.5818181818182, 677.8727272727273]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C06	8	6	[283.5818181818182, 650.1636363636363, 311.31818181818187, 677.8727272727273]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C07	8	7	[311.31818181818187, 650.1636363636363, 339.0545454545455, 677.8727272727273]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C08	8	8	[339.0545454545455, 650.1636363636363, 366.7909090909091, 677.8727272727273]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C09	8	9	[366.7909090909091, 650.1636363636363, 394.5272727272727, 677.8727272727273]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C10	8	10	[394.5272727272727, 650.1636363636363, 422.26363636363635, 677.8727272727273]	16	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R08-C11	8	11	[422.26363636363635, 650.1636363636363, 450.0, 677.8727272727273]	17	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C01	9	1	[144.9, 677.8727272727273, 172.63636363636365, 705.5818181818182]	8	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C02	9	2	[172.63636363636365, 677.8727272727273, 200.37272727272727, 705.5818181818182]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C03	9	3	[200.37272727272727, 677.8727272727273, 228.10909090909092, 705.5818181818182]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C04	9	4	[228.10909090909092, 677.8727272727273, 255.84545454545457, 705.5818181818182]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C05	9	5	[255.84545454545457, 677.8727272727273, 283.5818181818182, 705.5818181818182]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C06	9	6	[283.5818181818182, 677.8727272727273, 311.31818181818187, 705.5818181818182]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C07	9	7	[311.31818181818187, 677.8727272727273, 339.0545454545455, 705.5818181818182]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C08	9	8	[339.0545454545455, 677.8727272727273, 366.7909090909091, 705.5818181818182]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C09	9	9	[366.7909090909091, 677.8727272727273, 394.5272727272727, 705.5818181818182]	16	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C10	9	10	[394.5272727272727, 677.8727272727273, 422.26363636363635, 705.5818181818182]	17	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R09-C11	9	11	[422.26363636363635, 677.8727272727273, 450.0, 705.5818181818182]	18	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C01	10	1	[144.9, 705.5818181818182, 172.63636363636365, 733.290909090909]	9	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C02	10	2	[172.63636363636365, 705.5818181818182, 200.37272727272727, 733.290909090909]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C03	10	3	[200.37272727272727, 705.5818181818182, 228.10909090909092, 733.290909090909]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C04	10	4	[228.10909090909092, 705.5818181818182, 255.84545454545457, 733.290909090909]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C05	10	5	[255.84545454545457, 705.5818181818182, 283.5818181818182, 733.290909090909]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C06	10	6	[283.5818181818182, 705.5818181818182, 311.31818181818187, 733.290909090909]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C07	10	7	[311.31818181818187, 705.5818181818182, 339.0545454545455, 733.290909090909]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C08	10	8	[339.0545454545455, 705.5818181818182, 366.7909090909091, 733.290909090909]	16	TRANSCRIBED	
