table_id	cell_id	row	column	source_pdf_rect	literal	status	glyph_id
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C09	10	9	[366.7909090909091, 705.5818181818182, 394.5272727272727, 733.290909090909]	17	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C10	10	10	[394.5272727272727, 705.5818181818182, 422.26363636363635, 733.290909090909]	18	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R10-C11	10	11	[422.26363636363635, 705.5818181818182, 450.0, 733.290909090909]	19	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C01	11	1	[144.9, 733.290909090909, 172.63636363636365, 761.0]	10	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C02	11	2	[172.63636363636365, 733.290909090909, 200.37272727272727, 761.0]	11	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C03	11	3	[200.37272727272727, 733.290909090909, 228.10909090909092, 761.0]	12	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C04	11	4	[228.10909090909092, 733.290909090909, 255.84545454545457, 761.0]	13	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C05	11	5	[255.84545454545457, 733.290909090909, 283.5818181818182, 761.0]	14	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C06	11	6	[283.5818181818182, 733.290909090909, 311.31818181818187, 761.0]	15	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C07	11	7	[311.31818181818187, 733.290909090909, 339.0545454545455, 761.0]	16	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C08	11	8	[339.0545454545455, 733.290909090909, 366.7909090909091, 761.0]	17	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C09	11	9	[366.7909090909091, 733.290909090909, 394.5272727272727, 761.0]	18	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C10	11	10	[394.5272727272727, 733.290909090909, 422.26363636363635, 761.0]	19	TRANSCRIBED	
AB01-PDF0096-T01	AB01-PDF0096-T01-R11-C11	11	11	[422.26363636363635, 733.290909090909, 450.0, 761.0]	20	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C01	1	1	[165.7, 404.5, 193.89090909090908, 432.3272727272727]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C02	1	2	[193.89090909090908, 404.5, 222.08181818181816, 432.3272727272727]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C03	1	3	[222.08181818181816, 404.5, 250.27272727272725, 432.3272727272727]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C04	1	4	[250.27272727272725, 404.5, 278.46363636363634, 432.3272727272727]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C05	1	5	[278.46363636363634, 404.5, 306.6545454545454, 432.3272727272727]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C06	1	6	[306.6545454545454, 404.5, 334.8454545454546, 432.3272727272727]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C07	1	7	[334.8454545454546, 404.5, 363.03636363636366, 432.3272727272727]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C08	1	8	[363.03636363636366, 404.5, 391.22727272727275, 432.3272727272727]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C09	1	9	[391.22727272727275, 404.5, 419.4181818181818, 432.3272727272727]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C10	1	10	[419.4181818181818, 404.5, 447.6090909090909, 432.3272727272727]	9	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R01-C11	1	11	[447.6090909090909, 404.5, 475.8, 432.3272727272727]	10	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C01	2	1	[165.7, 432.3272727272727, 193.89090909090908, 460.1545454545454]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C02	2	2	[193.89090909090908, 432.3272727272727, 222.08181818181816, 460.1545454545454]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C03	2	3	[222.08181818181816, 432.3272727272727, 250.27272727272725, 460.1545454545454]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C04	2	4	[250.27272727272725, 432.3272727272727, 278.46363636363634, 460.1545454545454]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C05	2	5	[278.46363636363634, 432.3272727272727, 306.6545454545454, 460.1545454545454]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C06	2	6	[306.6545454545454, 432.3272727272727, 334.8454545454546, 460.1545454545454]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C07	2	7	[334.8454545454546, 432.3272727272727, 363.03636363636366, 460.1545454545454]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C08	2	8	[363.03636363636366, 432.3272727272727, 391.22727272727275, 460.1545454545454]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C09	2	9	[391.22727272727275, 432.3272727272727, 419.4181818181818, 460.1545454545454]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C10	2	10	[419.4181818181818, 432.3272727272727, 447.6090909090909, 460.1545454545454]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R02-C11	2	11	[447.6090909090909, 432.3272727272727, 475.8, 460.1545454545454]	9	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C01	3	1	[165.7, 460.1545454545454, 193.89090909090908, 487.9818181818182]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C02	3	2	[193.89090909090908, 460.1545454545454, 222.08181818181816, 487.9818181818182]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C03	3	3	[222.08181818181816, 460.1545454545454, 250.27272727272725, 487.9818181818182]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C04	3	4	[250.27272727272725, 460.1545454545454, 278.46363636363634, 487.9818181818182]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C05	3	5	[278.46363636363634, 460.1545454545454, 306.6545454545454, 487.9818181818182]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C06	3	6	[306.6545454545454, 460.1545454545454, 334.8454545454546, 487.9818181818182]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C07	3	7	[334.8454545454546, 460.1545454545454, 363.03636363636366, 487.9818181818182]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C08	3	8	[363.03636363636366, 460.1545454545454, 391.22727272727275, 487.9818181818182]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C09	3	9	[391.22727272727275, 460.1545454545454, 419.4181818181818, 487.9818181818182]	6	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C10	3	10	[419.4181818181818, 460.1545454545454, 447.6090909090909, 487.9818181818182]	7	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R03-C11	3	11	[447.6090909090909, 460.1545454545454, 475.8, 487.9818181818182]	8	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C01	4	1	[165.7, 487.9818181818182, 193.89090909090908, 515.8090909090909]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C02	4	2	[193.89090909090908, 487.9818181818182, 222.08181818181816, 515.8090909090909]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C03	4	3	[222.08181818181816, 487.9818181818182, 250.27272727272725, 515.8090909090909]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C04	4	4	[250.27272727272725, 487.9818181818182, 278.46363636363634, 515.8090909090909]	grad.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C05	4	5	[278.46363636363634, 487.9818181818182, 306.6545454545454, 515.8090909090909]	min.	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C06	4	6	[306.6545454545454, 487.9818181818182, 334.8454545454546, 515.8090909090909]	2	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C07	4	7	[334.8454545454546, 487.9818181818182, 363.03636363636366, 515.8090909090909]	3	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C08	4	8	[363.03636363636366, 487.9818181818182, 391.22727272727275, 515.8090909090909]	4	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C09	4	9	[391.22727272727275, 487.9818181818182, 419.4181818181818, 515.8090909090909]	5	TRANSCRIBED	
AB01-PDF0097-T01	AB01-PDF0097-T01-R04-C10	4	10	[419.4181818181818, 487.9818181818182, 447.6090909090909, 515.8090909090909]	6	TRANSCRIBED	
