source_anchor	printed_page	heading
AB01-PDF0093-body-L028	4	CAPUT I.
AB01-PDF0095-body-L005	6	CAPUT II.
AB01-PDF0098-body-L007	9	CAPUT III.
AB01-PDF0101-body-L001	12	CAPUT IV.
AB01-PDF0102-body-L025	13	CAPUT V.
AB01-PDF0103-body-L014	14	CAPUT VI.
AB01-PDF0109-body-L014	20	CAPUT VII.
AB01-PDF0110-body-L007	21	CAPUT VIII.
AB01-PDF0110-body-L023	21	CAPUT IX.
AB01-PDF0111-body-L006	22	CAPUT X.
AB01-PDF0112-body-L015	23	CAPUT XI.
AB01-PDF0113-body-L001	24	CAPUT XII.
AB01-PDF0116-body-L001	27	CAPUT XIII.
AB01-PDF0118-body-L032	29	CAPUT XIV.
AB01-PDF0119-body-L004	30	CAPUT XV.
AB01-PDF0119-body-L015	30	CAPUT XVI.
