anchor	master_pdf_page	printed_page	source_id	section	role	record_kind	locator_type	pixel_line_bbox	source_markup
AB01-PDF0090-notes_left-L001	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(1) I. e. de sinibus.
AB01-PDF0090-notes_left-L002	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(2) Textum uberiorem Plato Tiburtinus prae
AB01-PDF0090-notes_left-L003	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	oculis habuisse videtur; scribit enim: « in cognitione
AB01-PDF0090-notes_left-L004	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« quantitatum chordarum partium circuli et in po-
AB01-PDF0090-notes_left-L005	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« sitione medietatum cordarum duplicitatis arcus in
AB01-PDF0090-notes_left-L006	90	1	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« tabulis, ut usu exercitentur in omnibus numero-
AB01-PDF0090-notes_right-L001	90	1	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« rum manerijs loco cordarum, et in his quae se-
AB01-PDF0090-notes_right-L002	90	1	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« cuntur ad cordarum notitiam, nec non in scientia
AB01-PDF0090-notes_right-L003	90	1	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« cordarum convenientium per arcus, et arcuum con-
AB01-PDF0090-notes_right-L004	90	1	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« venientium per cordas, cordarum quoque perfe-
AB01-PDF0090-notes_right-L005	90	1	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« ctarum per arcus et arcuum per cordas ».
AB01-PDF0090-margins-L001	90	1	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	Textus p. 1.
AB01-PDF0090-margins-L002	90	1	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	5; 10; 15.
AB01-PDF0090-margins-L003	90	1	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	1 [signature]
AB01-PDF0091-body-L001	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	VII. De amplitudine ortuum et occasuum hiemalium et aestivorum in horizontibus regio-
AB01-PDF0091-body-L002	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	num Terrae; id est de arcubus circuli horizontalis inter aequatorem et eclipticam positis, qui
AB01-PDF0091-body-L003	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	azimuth ortuum et occasuum in circulo horizontis appellantur.
AB01-PDF0091-body-L004	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	VIII. De cognoscenda poli borealis altitudine ex incremento longissimi diei, cum hoc da-
AB01-PDF0091-body-L005	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	tum sit.
AB01-PDF0091-body-L006	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	IX. De cognoscendo incremento diei longissimi, cum data sit poli altitudo.
AB01-PDF0091-body-L007	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	X. De cognitione altitudinis per umbram et umbrae per altitudinem, sive extensa est
AB01-PDF0091-body-L008	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	umbra sive erecta.
AB01-PDF0091-body-L009	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XI. De azimuth altitudinis et umbrae in circulo horizontali quocumque loco et tempore
AB01-PDF0091-body-L010	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	ad omnes eclipticae gradus; id est de parte circuli horizontalis a termino ortus et occasus,
AB01-PDF0091-body-L011	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	quam secat arcus per zenith et Solem transiens.
AB01-PDF0091-body-L012	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XII. De invenienda quolibet Terrae loco linea meridiana, azimuth (1) meridiei etiam ap-
AB01-PDF0091-body-L013	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	pellata, et de eo quod ex azimuth ortus aequinoctialis cum ea apparet (2); idque variis modis.
AB01-PDF0091-body-L014	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XIII. De quantitate circuli aequinoctialis quae cum gradibus datis eclipticae ab horizonte
AB01-PDF0091-body-L015	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	cuiuslibet regionis ascendit, et signorum ascensiones in regionibus (3) appellatur; nec non de
AB01-PDF0091-body-L016	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	consequenti cognitione ascensionum cuiuslibet generis (4), obliquarum et rectarum. Item de
AB01-PDF0091-body-L017	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	cognoscendis per has ascensiones gradibus eclipticae, arcu diurno et nocturno, horis aequinoc-
AB01-PDF0091-body-L018	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	tialibus et horarum temporalium diei noctisque temporibus; denique de conversione horarum
AB01-PDF0091-body-L019	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	aequinoctialium in horas temporales, ac temporalium in aequinoctiales.
AB01-PDF0091-body-L020	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XIV. De cognoscenda per observationes latitudine locorum terrestrium, quae est altitudo
AB01-PDF0091-body-L021	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	poli borealis super horizontem iis locis.
AB01-PDF0091-body-L022	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XV. De altitudine meridiana Solis quocumque die.
AB01-PDF0091-body-L023	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XVI. De cognoscendis horis diei elapsis et ascendente, per calculum Solis, altitudinis et
AB01-PDF0091-body-L024	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	umbrae erectae.
AB01-PDF0091-body-L025	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XVII. De altitudine per horas diei transactas cognoscenda.
AB01-PDF0091-body-L026	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XVIII. De stellarum fixarum et inerrantium declinatione, cum ab ecliptica in latitudine
AB01-PDF0091-body-L027	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	deflectant; et de gradibus eclipticae, cum quibus stellae culminant, cognoscendis per earum
AB01-PDF0091-body-L028	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	loca in longitudine et latitudine respectu eclipticae.
AB01-PDF0091-body-L029	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XIX. De arcu semidiurno (5) cuiuslibet stellae, qui est dimidia eius mora super Terram
AB01-PDF0091-body-L030	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	et sub Terra; deque temporibus eius horariis super Terram et sub Terra.
AB01-PDF0091-body-L031	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XX. De cognitione gradus eclipticae cum qualibet stella ascendentis aut occidentis.
AB01-PDF0091-body-L032	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXI. De cognitione horarum noctis praeteritarum per stellas.
AB01-PDF0091-body-L033	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXII. De altitudine cuiuslibet stellae cognoscenda per horas noctis iam transactas.
AB01-PDF0091-body-L034	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXIII. De cognoscendo azimuth cuiuslibet stellae per altitudinem sideris super horizontem.
AB01-PDF0091-body-L035	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXIV. De stellarum declinationibus et de gradibus eclipticae, cum quibus ipsae culmi-
AB01-PDF0091-body-L036	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	nant, cognoscendis per azimuth loci circuli horizontalis in quo stellae oriuntur aut occidunt.
AB01-PDF0091-body-L037	91	2	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	Et per hoc [azimuth] etiam deprehenditur graduum eclipticae declinatio a circulo aequinoctiali (6).
AB01-PDF0091-notes_left-L001	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(1) Seu: directio.
AB01-PDF0091-notes_left-L002	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(2) Scilicet de directione orientis, quae, linea
AB01-PDF0091-notes_left-L003	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	meridiana cognita, statim innotescit.
AB01-PDF0091-notes_left-L004	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(3) I. e. ascensio obliqua.
AB01-PDF0091-notes_left-L005	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(4) Pro <ar>وجه</ar> exemplar Platonis <ar>درجة</ar> habuisse
AB01-PDF0091-notes_left-L006	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	videtur, quae bona lectio esse potest; vertit enim
AB01-PDF0091-notes_left-L007	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	Plato: « et eorum quae sequuntur in cognitione
AB01-PDF0091-notes_left-L008	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« ascensionum, cuiuslibet gradus in his ascensioni-
AB01-PDF0091-notes_left-L009	91	2	SRC01	notes_left	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	« bus, et in ascensionibus circuli directi ».
AB01-PDF0091-notes_right-L001	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(5) Codex et Plato: diurno.
AB01-PDF0091-notes_right-L002	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	(6) Haec tituli pars non est anterioris mera
AB01-PDF0091-notes_right-L003	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	repetitio; auctor enim Arabice declinationem stel-
AB01-PDF0091-notes_right-L004	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	lae extra eclipticam positae (quam vocat distantiam
AB01-PDF0091-notes_right-L005	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	a circulo aequinoctiali) semper distinguit a declina-
AB01-PDF0091-notes_right-L006	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	tione graduum eclipticae vel Solis (quam <i>mayl</i> <ar>ميل</ar>
AB01-PDF0091-notes_right-L007	91	2	SRC01	notes_right	NALLINO_APPARATUS	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	appellat).
AB01-PDF0091-margins-L001	91	2	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	p. 2.
AB01-PDF0091-margins-L002	91	2	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	p. 3.
AB01-PDF0091-margins-L003	91	2	SRC01	margins	NALLINO_APPARATUS	source_marginal_register	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	5; 10; 15; 20; 25; 30; 35.
AB01-PDF0092-body-L001	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXV. De gradu eclipticae quem stella occupat, ac de latitudine stellae cognoscendis per
AB01-PDF0092-body-L002	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	sideris declinationem et per gradum cum stella culminantem, si haec fuerint nota.
AB01-PDF0092-body-L003	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXVI. De cognoscenda stellarum ab alteris distantia, iuxta ipsarum loca in sphaera cae-
AB01-PDF0092-body-L004	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	lesti in longitudine et latitudine.
AB01-PDF0092-body-L005	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXVII. De longitudine temporum anni solaris observationibus inventa, et de medio So-
AB01-PDF0092-body-L006	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	lis motu in diebus, mensibus, annis, qui per illam cognoscitur.
AB01-PDF0092-body-L007	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXVIII. De inaequali Solis motu; et de gradibus eclipticae a locis eius apogei cum eo
AB01-PDF0092-body-L008	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	apparentibus (1).
AB01-PDF0092-body-L009	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXIX. De quantitate variationis nychthemerōn, cum inter se comparentur, et de alterius
AB01-PDF0092-body-L010	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	in alterum conversione.
AB01-PDF0092-body-L011	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXX. De sphaeris motibusque Lunae; de inaequalitate quae coniunctionum et oppositio-
AB01-PDF0092-body-L012	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	num solarium temporibus in ea apparet; nec non de altera, quae illi adiicitur, inaequalitate,
AB01-PDF0092-body-L013	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	ob [variam] distantiam Lunae a Sole. Item de causis eclipsium, de amborum luminarium a Terra
AB01-PDF0092-body-L014	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	longiquitate, et de accretione et deminutione luminis Lunae ob [variam] eius a Sole distantia.
AB01-PDF0092-body-L015	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXI. De sphaeris et statibus planetarum.
AB01-PDF0092-body-L016	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXII. De aeris Arabum, Romanorum, Persarum, Coptorum; et quo modo alia in
AB01-PDF0092-body-L017	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	aliam convertatur.
AB01-PDF0092-body-L018	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXIII. De cognitione loci eclipticae in quo Sol apparet, per aeram Romanorum aut
AB01-PDF0092-body-L019	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	per aeram Arabum.
AB01-PDF0092-body-L020	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXIV. De cognoscendis horis correctis quolibet Terrae loco; et sunt horae aequinoc-
AB01-PDF0092-body-L021	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	tiales mediae post meridiem in urbe ar-Raqqah, per quas motus [caelestes] quolibet tempore
AB01-PDF0092-body-L022	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	inveniuntur, unde locus medius datae stellae eo tempore cognoscitur. Item de his horis in
AB01-PDF0092-body-L023	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	horas aliarum regionum convertendis.
AB01-PDF0092-body-L024	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXV. De cognitione ascendentis et duodecim domorum per horas diei et noctis; item
AB01-PDF0092-body-L025	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	de cognoscendis per ascendens horis.
AB01-PDF0092-body-L026	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXVI. De loco vero Lunae in ecliptica (2) quocumque die ac tempore.
AB01-PDF0092-body-L027	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXVII. De loco nodi borealis et nodi australis, id est de Capite et Cauda per quae
AB01-PDF0092-body-L028	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	Luna in suo latitudinis [motu] transit.
AB01-PDF0092-body-L029	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXVIII. De Lunae latitudine sive longinquitate ab ecliptica.
AB01-PDF0092-body-L030	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XXXIX. De parallaxi Lunae in longitudine ac latitudine, de variis rationibus quibus eius
AB01-PDF0092-body-L031	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	quantitates in horizontis tractibus deprehenduntur, nec non de causa qua illa fit.
AB01-PDF0092-body-L032	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XL. De cognoscenda longinquitate Lunae a Terra per eius parallaxim in circulo altitu-
AB01-PDF0092-body-L033	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	dinis, qui est in regione inter zenith et horizontem et per locum Lunae in ecliptica transit.
AB01-PDF0092-body-L034	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XLI. De apparitione Lunae in initio et fine mensis; de azimuth loci quo Luna in Caelo
AB01-PDF0092-body-L035	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	apparet; de altitudine Lunae super horizontem eo tempore; et de eius figura secundum lumen
AB01-PDF0092-body-L036	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	et secundum aequalitatem aut inclinationem binorum novae Lunae cornuum.
AB01-PDF0092-body-L037	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XLII. De cognoscendis mediis et veris coniunctionibus atque oppositionibus Solis et Lu-
AB01-PDF0092-body-L038	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	nae, ad aeram Romanorum et ad aeram Coptorum.
AB01-PDF0092-body-L039	92	3	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	XLIII. De eclipsibus Lunae, earumque quantitatibus et temporibus quolibet Terrae loco;
