anchor	master_pdf_page	printed_page	source_id	section	role	record_kind	locator_type	pixel_line_bbox	source_markup
AB01-PDF0090-body-L001	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	<center><b>AL-BATTĀNĪ <small>SIVE</small> ALBATENII</b></center>
AB01-PDF0090-body-L002	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	<center><b>OPUS ASTRONOMICUM</b></center>
AB01-PDF0090-body-L003	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	<center>In nomine Dei clementis et misericordis.</center>
AB01-PDF0090-body-L004	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	<center>Propitius est Deus et salutem praestat Muḥammadi suo prophetae</center>
AB01-PDF0090-body-L005	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	<center>nobilique legato, nec non eius genti et sociis.</center>
AB01-PDF0090-body-L006	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	Summa rerum quas <i>Muḥammad ibn Ġābir ibn Sinān al-Ḥarrānī</i>, <n>al-Battānī</n> no-
AB01-PDF0090-body-L007	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	mine notus, — ignoscat ei Deus, — de calculo siderum et locis eorum probatorum motuum
AB01-PDF0090-body-L008	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	posuit. Sunt LVII capita, quorum haec est epitome:
AB01-PDF0090-body-L009	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	I. Libri initium.
AB01-PDF0090-body-L010	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	II. De circulo sphaerae caelestis dividendo, nec non de graduum multiplicatione, radicibus
AB01-PDF0090-body-L011	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	et divisione.
AB01-PDF0090-body-L012	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	III. De chordarum dimensione quae gradibus circuli subtenduntur; de chordis dimidiatis
AB01-PDF0090-body-L013	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	duplorum arcuum (1) in tabulis ponendis, ac de earum usu (2).
AB01-PDF0090-body-L014	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	IV. De obliquitate eclipticae respectu circuli aequinoctialis, quae est declinatio Solis a
AB01-PDF0090-body-L015	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	sphaera recta; de eius divisione, plaga in Caelo, ordinibusque in ascensu et descensu.
AB01-PDF0090-body-L016	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	V. De quantitatibus circuli aequinoctialis, quae cum datis eclipticae arcubus [in locis Ter-
AB01-PDF0090-body-L017	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	rae] sub aequatore [positis] ascendunt, et secundum quas zodiaci signa per circulum meridia-
AB01-PDF0090-body-L018	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	num omnibus Terrae locis transeunt; qua re appellantur ascensiones signorum in sphaera recta,
AB01-PDF0090-body-L019	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	VI. De proprietatibus linearum aequatori parallelarum et ab eo in septentriones versus
AB01-PDF0090-body-L020	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	declinantium; nec non de locis Terrae habitabilis, quorum longitudines et latitudines in <i>Libro
AB01-PDF0090-body-L021	90	1	SRC01	body	NALLINO_TRANSLATION	source_text_line	page + manually delimited zone + ordinal source line/object	NOT_ASSERTED	figurae Terrae</i> describuntur.
