key_row_id	table_id	line_id	master_pdf_page	source_text	source_structure	source_role
S01-T01-R01	S01-T01	AB01-PDF0072-body-L033	72	’ (<i>hamzah</i>) in medio et fine vocabulorum asperam vocis interruptionem designat.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R02	S01-T01	AB01-PDF0072-body-L034	72	‘ (<ar>ع</ar>) est gutturalis surda, nostris linguis ignota.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R03	S01-T01	AB01-PDF0072-body-L035	72	<i>dh</i> (<ar>ذ</ar>) Anglica <i>th</i> in <i>the</i>, vel <gr>δ</gr> Graecorum aetatis nostrae (1).	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R04	S01-T01	AB01-PDF0072-body-L036	72	<i>ǵ</i> (<ar>ج</ar>) semper palatalis, ut <i>g</i> Italorum ante <i>i</i> et <i>e</i>, vel Anglorum in <i>gentleman</i>.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R05	S01-T01	AB01-PDF0072-body-L037	72	<i>gh</i> (<ar>غ</ar>) gutturalis sonora spirans, paulo asperior quam <gr>γ</gr> Graecorum aetatis nostrae.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R06	S01-T01	AB01-PDF0072-body-L038	72	<i>kh</i> (<ar>خ</ar>) paulo asperior quam <i>ch</i> Germanica in <i>ach</i>, aut <i>j</i> Hispanorum.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R07	S01-T01	AB01-PDF0073-body-L001	73	<i>sh</i> (<ar>ش</ar>) ut apud Anglos.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R08	S01-T01	AB01-PDF0073-body-L002	73	<i>th</i> (<ar>ث</ar>) ut Anglorum <i>th</i> in <i>thank</i>, <i>z</i> Hispanica, <gr>ϑ</gr> Graecorum.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R09	S01-T01	AB01-PDF0073-body-L003	73	<i>w</i> (<ar>و</ar>) ut apud Anglos.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R10	S01-T01	AB01-PDF0073-body-L004	73	<i>ḍ, ḥ, q, ṣ, ṭ, ẓ</i> emphaticae, ut vulgo dicunt, sunt simpliciorum <i>d, h, k, s, t, z</i>.	one printed list entry; no original column headings	NALLINO_APPARATUS
S01-T01-R11	S01-T01	AB01-PDF0073-body-L005	73	Vocales longae lineola superposita indicantur (<i>ā, ī, ū</i>).	one printed list entry; no original column headings	NALLINO_APPARATUS
